usda_category,rows_kept,canonical,status,rule
Candy,22541,Candy & Chocolate,auto,app mapper (mapOffCategoriesToCanonical)
"Popcorn, Peanuts, Seeds & Related Snacks",21415,Snacks & Chips,auto,keyword 'popcorn'
Cheese,16015,Dairy & Eggs,auto,keyword 'cheese'
Cookies & Biscuits,12982,Cookies & Crackers,auto,keyword 'cookie'
Ice Cream & Frozen Yogurt,12824,Frozen Foods,auto,keyword 'ice cream'
"Chips, Pretzels & Snacks",11703,Snacks & Chips,auto,keyword 'chips'
Chocolate,10343,Candy & Chocolate,auto,app mapper (mapOffCategoriesToCanonical)
Breads & Buns,9964,Bakery & Bread,auto,keyword 'bread'
"Pickles, Olives, Peppers & Relishes",9883,Canned & Jarred Goods,auto,keyword 'pickle'
"Cakes, Cupcakes, Snack Cakes",9175,Bakery & Bread,auto,keyword 'cake'
"Fruit & Vegetable Juice, Nectars & Fruit Drinks",8623,Beverages — Non-Alcoholic,auto,keyword 'juice'
"Seasoning Mixes, Salts, Marinades & Tenderizers",8139,Spices & Seasonings,auto,keyword 'seasoning'
Other Snacks,8113,Snacks & Chips,auto,keyword 'snack'
"Snack, Energy & Granola Bars",7912,Breakfast & Cereal,auto,keyword 'granola'
Cereal,7786,Breakfast & Cereal,auto,app mapper (mapOffCategoriesToCanonical)
Soda,7648,Beverages — Non-Alcoholic,auto,keyword 'soda'
"Ketchup, Mustard, BBQ & Cheese Sauce",6742,Condiments & Sauces,auto,keyword 'ketchup'
Dips & Salsa,6722,Condiments & Sauces,auto,keyword 'dips'
Pasta by Shape & Type,6064,"Pasta, Rice & Grains",auto,keyword 'pasta'
Wholesome Snacks,5981,Snacks & Chips,auto,keyword 'snack'
Yogurt,5926,Dairy & Eggs,auto,keyword 'yogurt'
Pre-Packaged Fruit & Vegetables,5702,Produce,auto,keyword 'fruit'
Salad Dressing & Mayonnaise,5675,Condiments & Sauces,auto,keyword 'dressing'
Water,5502,Beverages — Non-Alcoholic,auto,keyword 'water'
Frozen Dinners & Entrees,5195,Frozen Foods,auto,keyword 'frozen'
Other Drinks,4671,Beverages — Non-Alcoholic,auto,keyword 'drinks'
"Sausages, Hotdogs & Brats",4577,Meat & Poultry,auto,keyword 'sausage'
Frozen Appetizers & Hors D'oeuvres,4509,Frozen Foods,auto,keyword 'frozen'
"Pepperoni, Salami & Cold Cuts",4491,Deli & Prepared Foods,auto,keyword 'pepperoni'
Vegetable & Cooking Oils,4298,Oils & Vinegars,auto,keyword 'oils'
Milk,4277,Dairy & Eggs,auto,keyword 'milk'
Powdered Drinks,4187,Beverages — Non-Alcoholic,auto,keyword 'drinks'
Canned Vegetables,4166,Canned & Jarred Goods,auto,keyword 'canned'
Baking Decorations & Dessert Toppings,4008,Baking Supplies,auto,keyword 'baking'
Crackers & Biscotti,3898,Cookies & Crackers,auto,keyword 'cracker'
Frozen Vegetables,3699,Frozen Foods,auto,keyword 'frozen'
Frozen Fish & Seafood,3630,Seafood,auto,app mapper (mapOffCategoriesToCanonical)
"Oriental, Mexican & Ethnic Sauces",3492,Condiments & Sauces,auto,keyword 'sauce'
Prepared Pasta & Pizza Sauces,3448,Condiments & Sauces,auto,keyword 'sauce'
Other Deli,3443,Deli & Prepared Foods,auto,keyword 'deli'
"Cake, Cookie & Cupcake Mixes",3385,Cookies & Crackers,auto,keyword 'cookie'
Pizza,3382,Deli & Prepared Foods,auto,keyword 'pizza'
"Jam, Jelly & Fruit Spreads",3225,Canned & Jarred Goods,auto,keyword 'jam'
Canned & Bottled Beans,2927,Canned & Jarred Goods,auto,keyword 'canned'
Canned Fruit,2906,Canned & Jarred Goods,auto,keyword 'canned'
Other Soups,2893,Soups & Broths,auto,keyword 'soup'
Tomatoes,2834,Canned & Jarred Goods,auto,keyword 'tomato'
"Croissants, Sweet Rolls, Muffins & Other Pastries",2737,Bakery & Bread,auto,keyword 'croissant'
Nut & Seed Butters,2580,Nuts & Dried Fruit,auto,keyword 'nut'
Milk/Milk Substitutes,2321,Dairy & Eggs,auto,keyword 'milk'
Herbs & Spices,2302,Spices & Seasonings,auto,keyword 'herbs'
Other Meats,2245,Meat & Poultry,auto,keyword 'meat'
Canned Soup,2211,Canned & Jarred Goods,auto,keyword 'canned'
Iced & Bottle Tea,2160,Coffee & Tea,auto,keyword 'tea'
Frozen Fruit & Fruit Juice Concentrates,2083,Frozen Foods,auto,keyword 'frozen'
Other Cooking Sauces,2078,Condiments & Sauces,auto,keyword 'sauce'
Other Frozen Desserts,1884,Frozen Foods,auto,keyword 'frozen'
Syrups & Molasses,1846,Breakfast & Cereal,auto,keyword 'syrup'
Rice,1783,"Pasta, Rice & Grains",auto,app mapper (mapOffCategoriesToCanonical)
"Energy, Protein & Muscle Recovery Drinks",1758,Beverages — Non-Alcoholic,auto,keyword 'drinks'
Vegetable and Lentil Mixes,1750,Produce,auto,keyword 'vegetable'
"Granulated, Brown & Powdered Sugar",1710,Baking Supplies,auto,keyword 'sugar'
Chewing Gum & Mints,1657,Candy & Chocolate,auto,keyword 'gum'
Butter & Spread,1621,Dairy & Eggs,auto,keyword 'butter'
Mexican Dinner Mixes,1563,Baking Supplies,auto,keyword 'mix'
"Bacon, Sausages & Ribs",1545,Meat & Poultry,auto,keyword 'bacon'
Pasta Dinners,1545,"Pasta, Rice & Grains",auto,keyword 'pasta'
Tea Bags,1545,Coffee & Tea,auto,keyword 'tea'
Cream,1481,Dairy & Eggs,auto,keyword 'cream'
Milk Additives,1396,Dairy & Eggs,auto,keyword 'milk'
Crusts & Dough,1386,Baking Supplies,user map,
"Entrees, Sides & Small Meals",1377,Deli & Prepared Foods,auto,keyword 'entree'
Honey,1352,Condiments & Sauces,auto,keyword 'honey'
Flours & Corn Meal,1295,Deli & Prepared Foods,auto,keyword 'meal'
Deli Salads,1250,Deli & Prepared Foods,auto,keyword 'deli'
Fish & Seafood,1223,Seafood,auto,app mapper (mapOffCategoriesToCanonical)
Canned Seafood,1216,Seafood,auto,app mapper (mapOffCategoriesToCanonical)
Processed Cereal Products,1182,Breakfast & Cereal,auto,keyword 'cereal'
Plant Based Milk,1181,Dairy & Eggs,auto,keyword 'milk'
Cooked & Prepared,1180,Deli & Prepared Foods,auto,keyword 'prepared'
Puddings & Custards,1179,Snacks & Chips,user map,
Snacks,1175,Snacks & Chips,auto,app mapper (mapOffCategoriesToCanonical)
Chili & Stew,1134,Soups & Broths,auto,keyword 'chili'
Biscuits/Cookies,1131,Cookies & Crackers,auto,keyword 'biscuit'
Frozen Patties and Burgers,1118,Frozen Foods,auto,keyword 'frozen'
Alcohol,1081,Beverages — Alcoholic,auto,keyword 'alcohol'
Other Grains & Seeds,1069,Nuts & Dried Fruit,auto,keyword 'seeds'
Prepared Subs & Sandwiches,1064,Deli & Prepared Foods,auto,keyword 'prepared'
Frozen Bread & Dough,1050,Frozen Foods,auto,keyword 'frozen'
Bread & Muffin Mixes,1032,Bakery & Bread,auto,keyword 'bread'
"Frozen Breakfast Sandwiches, Biscuits & Meals",948,Frozen Foods,auto,keyword 'frozen'
Canned Tuna,919,Canned & Jarred Goods,auto,keyword 'canned'
All Noodles,910,"Pasta, Rice & Grains",auto,keyword 'noodle'
"French Fries, Potatoes & Onion Rings",886,Produce,auto,keyword 'potato'
"Gelatin, Gels, Pectins & Desserts",868,Snacks & Chips,user map,
Eggs & Egg Substitutes,867,Dairy & Eggs,auto,keyword 'eggs'
Lunch Snacks & Combinations,867,Snacks & Chips,auto,keyword 'snack'
"Frozen Pancakes, Waffles, French Toast & Crepes",851,Frozen Foods,auto,keyword 'frozen'
Canned Condensed Soup,848,Canned & Jarred Goods,auto,keyword 'canned'
Baking Additives & Extracts,807,Spices & Seasonings,auto,keyword 'extract'
Gravy Mix,781,Condiments & Sauces,auto,keyword 'gravy'
Frozen Prepared Sides,776,Frozen Foods,auto,keyword 'frozen'
Confectionery Products,758,Baking Supplies,user map,
Liquid Water Enhancer,752,Beverages — Non-Alcoholic,auto,keyword 'water'
Sport Drinks,736,Beverages — Non-Alcoholic,auto,keyword 'drinks'
Flavored Rice Dishes,735,"Pasta, Rice & Grains",auto,keyword 'rice'
Canned Meat,715,Canned & Jarred Goods,auto,keyword 'canned'
Prepared Wraps and Burittos,703,Deli & Prepared Foods,auto,keyword 'prepared'
"Poultry, Chicken & Turkey",700,Meat & Poultry,auto,keyword 'poultry'
Flavored Snack Crackers,690,Cookies & Crackers,auto,keyword 'cracker'
Plant Based Water,681,Beverages — Non-Alcoholic,auto,keyword 'water'
Other Condiments,569,Condiments & Sauces,auto,keyword 'condiment'
Sushi,549,Seafood,auto,keyword 'sushi'
Meat/Poultry/Other Animals  Prepared/Processed,539,Meat & Poultry,auto,app mapper (mapOffCategoriesToCanonical)
Pizza Mixes & Other Dry Dinners,533,Deli & Prepared Foods,auto,keyword 'pizza'
Non Alcoholic Beverages  Ready to Drink,527,Beverages — Non-Alcoholic,auto,corrected 2026-09-20: the probe's keyword 'alcohol' had matched 'Non Alcoholic'
Sauces/Spreads/Dips/Condiments,524,Condiments & Sauces,auto,keyword 'sauce'
Fish  Unprepared/Unprocessed,521,Seafood,auto,keyword 'fish'
Prepared Soups,497,Soups & Broths,auto,keyword 'soup'
Shellfish Unprepared/Unprocessed,475,Seafood,auto,keyword 'shellfish'
Pastry Shells & Fillings,459,Bakery & Bread,auto,keyword 'pastr'
Baking/Cooking Mixes/Supplies,457,Baking Supplies,auto,keyword 'baking'
Coffee,446,Coffee & Tea,auto,app mapper (mapOffCategoriesToCanonical)
"Frozen Poultry, Chicken & Turkey",408,Frozen Foods,auto,keyword 'frozen'
Bread,404,Bakery & Bread,auto,app mapper (mapOffCategoriesToCanonical)
"Frozen Bacon, Sausages & Ribs",355,Frozen Foods,auto,keyword 'frozen'
Sweet Bakery Products,318,Bakery & Bread,auto,keyword 'bakery'
Stuffing,314,"Pasta, Rice & Grains",user map,2026-09-20 gate-3 §6 pick (Eman)
Savoury Bakery Products,304,Bakery & Bread,auto,keyword 'bakery'
Biscuits/Cookies (Shelf Stable),291,Cookies & Crackers,auto,keyword 'biscuit'
"Breakfast Sandwiches, Biscuits & Meals",275,Cookies & Crackers,auto,keyword 'biscuit'
Vegetarian Frozen Meats,275,Frozen Foods,auto,keyword 'frozen'
Yogurt/Yogurt Substitutes,266,Dairy & Eggs,auto,keyword 'yogurt'
Dough Based Products / Meals,241,Deli & Prepared Foods,auto,keyword 'meals'
Non Alcoholic Beverages - Ready to Drink,230,Beverages — Non-Alcoholic,auto,corrected 2026-09-20: the probe's keyword 'alcohol' had matched 'Non Alcoholic'
"Frozen Sausages, Hotdogs & Brats",224,Frozen Foods,auto,keyword 'frozen'
Specialty Formula Supplements,194,Vitamins & Supplements,auto,keyword 'supplement'
Vegetables - Prepared/Processed,188,Deli & Prepared Foods,auto,keyword 'prepared'
Other Frozen Meats,177,Frozen Foods,auto,keyword 'frozen'
Vegetables  Prepared/Processed,162,Deli & Prepared Foods,auto,keyword 'prepared'
"Pancakes, Waffles, French Toast & Crepes",159,Breakfast & Cereal,auto,keyword 'pancake'
Vegetable Based Products / Meals,154,Deli & Prepared Foods,auto,keyword 'meals'
Meal Replacement Supplements,152,Vitamins & Supplements,auto,keyword 'meal replacement'
Desserts/Dessert Sauces/Toppings,148,Condiments & Sauces,auto,keyword 'sauce'
,133,,unmapped,blank category
Cheese/Cheese Substitutes,127,Dairy & Eggs,auto,keyword 'cheese'
Baby/Infant  Foods/Beverages,119,Baby & Toddler,auto,keyword 'baby'
Cereals Products - Ready to Eat (Shelf Stable),112,Breakfast & Cereal,auto,keyword 'cereal'
Sandwiches/Filled Rolls/Wraps,112,Bakery & Bread,auto,keyword 'rolls'
Non Alcoholic Beverages  Not Ready to Drink,110,Beverages — Non-Alcoholic,auto,corrected 2026-09-20: the probe's keyword 'alcohol' had matched 'Non Alcoholic'
Meat/Poultry/Other Animals - Prepared/Processed,106,Meat & Poultry,auto,app mapper (mapOffCategoriesToCanonical)
Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable),104,Snacks & Chips,auto,keyword 'chips'
Ready-Made Combination Meals,104,Deli & Prepared Foods,auto,keyword 'meals'
Cereal/Muesli Bars,102,Breakfast & Cereal,auto,keyword 'cereal'
Fruit - Prepared/Processed,92,Deli & Prepared Foods,auto,keyword 'prepared'
